0.000000,0.500000,0.601190,0.702381,0.803571,0.904762,1.005952,1.107143,1.208333,1.309524,1.410714,1.511905,1.613095,1.714286,1.815476,1.916667,2.017857,2.119048,2.220238,2.321429,2.422619,2.523810,2.625000,2.726190,2.827381,2.928571,3.029762,3.130952,3.232143,3.333333,3.434524,3.535714,3.636905,3.738095,3.839286,3.940476,4.041667,4.142857,4.244048,4.345238,4.446429,4.547619,4.648810,4.750000,4.851190,4.952381,5.053571,5.154762,5.255952,5.357143,5.458333,5.559524,5.660714,5.761905,5.863095,5.964286,6.065476,6.166667,6.267857,6.369048,6.470238,6.571429,6.672619,6.773810,6.875000,6.976190,7.077381,7.178571,7.279762,7.380952,7.482143,7.583333,7.684524,7.785714,7.886905,7.988095,8.089286,8.190476,8.291667,8.392857,8.494048,8.595238,8.696429,8.797619,8.898810,9.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002000,0.001957,0.002822,0.003840,0.005009,0.006324,0.007783,0.009382,0.011116,0.012981,0.014972,0.017083,0.019311,0.021648,0.024090,0.026632,0.029267,0.031989,0.034793,0.037673,0.040622,0.043637,0.046709,0.049835,0.053009,0.056224,0.059255,0.061732,0.064153,0.066510,0.068800,0.071018,0.073158,0.075218,0.077193,0.079081,0.080877,0.082581,0.084189,0.085700,0.087113,0.089090,0.091777,0.094445,0.097094,0.099721,0.102325,0.104905,0.107460,0.109989,0.112490,0.114266,0.115485,0.116626,0.117689,0.118675,0.119629,0.121756,0.123853,0.125919,0.127955,0.129959,0.131932,0.133874,0.135785,0.137666,0.139515,0.141335,0.143124,0.144883,0.146613,0.148313,0.149984,0.151626,0.153239,0.154824,0.156382,0.157912,0.159415,0.160891,0.162341,0.163765,0.165163,0.166537,0.167885,0.169210
0.004000,0.003914,0.005644,0.007680,0.010017,0.012648,0.015567,0.018764,0.022232,0.025962,0.029943,0.034166,0.038621,0.043296,0.048181,0.053264,0.058533,0.063978,0.069586,0.075345,0.081245,0.087273,0.093419,0.099670,0.106017,0.112448,0.118510,0.123465,0.128305,0.133021,0.137601,0.142036,0.146317,0.150436,0.154386,0.158161,0.161755,0.165162,0.168379,0.171401,0.174225,0.178180,0.183554,0.188891,0.194188,0.199442,0.204650,0.209810,0.214920,0.219977,0.224980,0.228532,0.230970,0.233252,0.235378,0.237350,0.239258,0.243513,0.247707,0.251839,0.255909,0.259917,0.263863,0.267748,0.271570,0.275331,0.279031,0.282670,0.286248,0.289766,0.293225,0.296625,0.299967,0.303251,0.306478,0.309649,0.312763,0.315824,0.318829,0.321782,0.324682,0.327530,0.330327,0.333073,0.335771,0.338419
0.006000,0.005871,0.008466,0.011520,0.015026,0.018973,0.023350,0.028146,0.033348,0.038942,0.044915,0.051249,0.057932,0.064944,0.072271,0.079896,0.087800,0.095966,0.104378,0.113018,0.121867,0.130910,0.140128,0.149506,0.159026,0.168672,0.177765,0.185197,0.192458,0.199531,0.206401,0.213053,0.219475,0.225654,0.231579,0.237242,0.242632,0.247743,0.252568,0.257101,0.261338,0.267270,0.275331,0.283336,0.291282,0.299163,0.306975,0.314715,0.322380,0.329966,0.337470,0.342798,0.346455,0.349878,0.353067,0.356025,0.358887,0.365269,0.371560,0.377758,0.383864,0.389876,0.395795,0.401622,0.407355,0.412997,0.418546,0.424005,0.429372,0.434650,0.439838,0.444938,0.449951,0.454877,0.459717,0.464473,0.469145,0.473735,0.478244,0.482673,0.487023,0.491295,0.495490,0.499610,0.503656,0.507629
0.008000,0.007828,0.011288,0.015361,0.020034,0.025297,0.031133,0.037528,0.044464,0.051923,0.059886,0.068333,0.077242,0.086592,0.096362,0.106527,0.117066,0.127955,0.139171,0.150690,0.162490,0.174546,0.186838,0.199341,0.212034,0.224896,0.237020,0.246930,0.256611,0.266042,0.275202,0.284071,0.292633,0.300872,0.308772,0.316322,0.323509,0.330324,0.336757,0.342802,0.348450,0.356360,0.367108,0.377782,0.388376,0.398884,0.409300,0.419621,0.429840,0.439955,0.449960,0.457064,0.461940,0.466504,0.470756,0.474700,0.478515,0.487026,0.495413,0.503678,0.511818,0.519834,0.527727,0.535495,0.543140,0.550662,0.558062,0.565339,0.572496,0.579533,0.586451,0.593251,0.599934,0.606502,0.612956,0.619297,0.625527,0.631647,0.637659,0.643564,0.649363,0.655060,0.660653,0.666147,0.671542,0.676839
0.010000,0.009785,0.014110,0.019201,0.025043,0.031621,0.038917,0.046910,0.055580,0.064904,0.074858,0.085416,0.096553,0.108241,0.120452,0.133159,0.146333,0.159944,0.173964,0.188363,0.203112,0.218183,0.233547,0.249176,0.265043,0.281120,0.296275,0.308662,0.320764,0.332552,0.344002,0.355089,0.365792,0.376090,0.385966,0.395403,0.404387,0.412905,0.420947,0.428502,0.435563,0.445450,0.458884,0.472227,0.485469,0.498605,0.511625,0.524526,0.537300,0.549943,0.562451,0.571329,0.577425,0.583130,0.588445,0.593374,0.598144,0.608782,0.619267,0.629597,0.639773,0.649793,0.659659,0.669369,0.678925,0.688328,0.697577,0.706674,0.715620,0.724416,0.733064,0.741563,0.749918,0.758128,0.766195,0.774121,0.781909,0.789559,0.797073,0.804455,0.811704,0.818824,0.825817,0.832684,0.839427,0.846049
0.012000,0.011742,0.016932,0.023041,0.030052,0.037945,0.046700,0.056292,0.066696,0.077885,0.089829,0.102499,0.115863,0.129889,0.144543,0.159791,0.175600,0.191933,0.208757,0.226035,0.243735,0.261820,0.280257,0.299011,0.318052,0.337345,0.355530,0.370394,0.384916,0.399063,0.412802,0.426107,0.438950,0.451308,0.463159,0.474483,0.485264,0.495486,0.505136,0.514202,0.522675,0.534540,0.550661,0.566672,0.582563,0.598325,0.613950,0.629431,0.644760,0.659932,0.674941,0.685595,0.692910,0.699756,0.706135,0.712049,0.717773,0.730539,0.743120,0.755516,0.767727,0.779752,0.791590,0.803243,0.814711,0.825993,0.837093,0.848009,0.858744,0.869299,0.879676,0.889876,0.899901,0.909753,0.919434,0.928946,0.938290,0.947471,0.956488,0.965346,0.974045,0.982589,0.990980,0.999220,1.007312,1.015258
0.014000,0.013699,0.019754,0.026881,0.035060,0.044270,0.054483,0.065674,0.077812,0.090865,0.104801,0.119582,0.135174,0.151537,0.168633,0.186423,0.204866,0.223922,0.243549,0.263708,0.284357,0.305456,0.326966,0.348847,0.371060,0.393569,0.414785,0.432127,0.449069,0.465573,0.481603,0.497125,0.512108,0.526526,0.540352,0.553564,0.566141,0.578067,0.589325,0.599903,0.609788,0.623630,0.642438,0.661118,0.679657,0.698046,0.716275,0.734336,0.752220,0.769920,0.787431,0.799861,0.808395,0.816382,0.823824,0.830724,0.837402,0.852295,0.866973,0.881436,0.895682,0.909710,0.923522,0.937117,0.950496,0.963659,0.976608,0.989344,1.001868,1.014183,1.026289,1.038189,1.049885,1.061379,1.072673,1.083770,1.094672,1.105382,1.115903,1.126237,1.136386,1.146354,1.156144,1.165757,1.175198,1.184468
0.016000,0.015656,0.022576,0.030721,0.040069,0.050594,0.062267,0.075056,0.088928,0.103846,0.119772,0.136665,0.154484,0.173185,0.192724,0.213055,0.234133,0.255911,0.278342,0.301381,0.324980,0.349093,0.373675,0.398682,0.424069,0.449793,0.474040,0.493859,0.513222,0.532084,0.550403,0.568143,0.585267,0.601744,0.617545,0.632644,0.647019,0.660648,0.673515,0.685603,0.696900,0.712720,0.734215,0.755563,0.776751,0.797767,0.818601,0.839241,0.859680,0.879909,0.899921,0.914127,0.923880,0.933008,0.941513,0.949399,0.957031,0.974052,0.990827,1.007355,1.023636,1.039669,1.055454,1.070991,1.086281,1.101325,1.116124,1.130679,1.144992,1.159066,1.172902,1.186502,1.199868,1.213004,1.225912,1.238594,1.251054,1.263294,1.275318,1.287127,1.298727,1.310119,1.321307,1.332294,1.343083,1.353678
