# v_mps,ax_max_mps2,ay_max_mps2
0,7.323980318,4.499999955
1,7.346107413,6.372013496
2,9.055486413,8.651870624
3,7.833764426,9.527845185
4,7.572364224,8.554989375
5,7.992308674,8.558790541
6,9.550351839,5.651238996
7,5.219746692,6.538198024
8,5.223038281,4.499999956
9,5,4.499999956
10,5,4.5
11,5,4.5
12,5,4.5
13,5,4.5
14,5,4.5
15,5,4.5
16,5,4.5
17,5,4.5
18,5,4.5
19,5,4.5
20,5,4.5
