6.577067102690390713e-310,5.000000000000000000e-01,6.015625000000000000e-01,7.031250000000000000e-01,8.046875000000000000e-01,9.062500000000000000e-01,1.007812500000000000e+00,1.109375000000000000e+00,1.210937500000000000e+00,1.312500000000000000e+00,1.414062500000000000e+00,1.515625000000000000e+00,1.617187500000000000e+00,1.718750000000000000e+00,1.820312500000000000e+00,1.921875000000000000e+00,2.023437500000000000e+00,2.125000000000000000e+00,2.226562500000000000e+00,2.328125000000000000e+00,2.429687500000000000e+00,2.531250000000000000e+00,2.632812500000000000e+00,2.734375000000000000e+00,2.835937500000000000e+00,2.937500000000000000e+00,3.039062500000000000e+00,3.140625000000000000e+00,3.242187500000000000e+00,3.343750000000000000e+00,3.445312500000000000e+00,3.546875000000000000e+00,3.648437500000000000e+00,3.750000000000000000e+00,3.851562500000000000e+00,3.953125000000000000e+00,4.054687500000000000e+00,4.156250000000000000e+00,4.257812500000000000e+00,4.359375000000000000e+00,4.460937500000000000e+00,4.562500000000000000e+00,4.664062500000000000e+00,4.765625000000000000e+00,4.867187500000000000e+00,4.968750000000000000e+00,5.070312500000000000e+00,5.171875000000000000e+00,5.273437500000000000e+00,5.375000000000000000e+00,5.476562500000000000e+00,5.578125000000000000e+00,5.679687500000000000e+00,5.781250000000000000e+00,5.882812500000000000e+00,5.984375000000000000e+00,6.085937500000000000e+00,6.187500000000000000e+00,6.289062500000000000e+00,6.390625000000000000e+00,6.492187500000000000e+00,6.593750000000000000e+00,6.695312500000000000e+00,6.796875000000000000e+00,6.898437500000000000e+00,7.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.333333333333333547e-03,2.690006349141613618e-03,3.878181494483509770e-03,5.273172572901597271e-03,6.868993926311500915e-03,8.658903184588385288e-03,1.063547040870148688e-02,1.279065199049519465e-02,1.511586879717427556e-02,1.760208613856311180e-02,2.023989523978677804e-02,2.301959430822111963e-02,2.593126880601687168e-02,2.896486781515072648e-02,3.211028020408671080e-02,3.535740300162208694e-02,3.869620780610894678e-02,4.211680043879915958e-02,4.560947596721566522e-02,4.916476699272982753e-02,5.277348660861579804e-02,5.642676513782136222e-02,6.011608066493044633e-02,6.383328541429884873e-02,6.757062237633729151e-02,7.132074515148723037e-02,7.507672261132851410e-02,7.883204740181622150e-02,8.258064476601434389e-02,8.631683195894804261e-02,9.003538808928580883e-02,9.373147257737564353e-02,9.740065200603348350e-02,1.010388801907323164e-01,1.046424845488014566e-01,1.082081504511146902e-01,1.117329066987024083e-01,1.152141109643512462e-01,1.186494239009247276e-01,1.220368023916186401e-01,1.253744755734854666e-01,1.286609348381508866e-01,1.318949021816412381e-01,1.350753276926646429e-01,1.382013799834219403e-01,1.412723939334680767e-01,1.442879023356352097e-01,1.472475856947375039e-01,1.501513000172146617e-01,1.529989931487685528e-01,1.557907704675526306e-01,1.585268334185514216e-01,1.612074896660642409e-01,1.638331354835550202e-01,1.664042362211834714e-01,1.689213507837597494e-01,1.713850860203653403e-01,1.737961025594639275e-01,1.761551219911550725e-01,1.784628902793465588e-01,1.807202113779529107e-01,1.829278913830294784e-01,1.850867811376023242e-01,1.871977600529080021e-01,1.892616941051083468e-01,1.912794913514612727e-01
6.666666666666667095e-03,5.380069960501709762e-03,7.756443958826050693e-03,1.054645272680074415e-02,1.373812423308324107e-02,1.731797297968654115e-02,2.127113803135441752e-02,2.558153135940163109e-02,3.023199330261966758e-02,3.520445314534570436e-02,4.048009151836650527e-02,4.603950296898979416e-02,5.186285545230270855e-02,5.793004533519292842e-02,6.422084598384568410e-02,7.071504776406237203e-02,7.739258907636244189e-02,8.423367643755400036e-02,9.121889444447002504e-02,9.832930090531538658e-02,1.055465147697322303e-01,1.128527894091740091e-01,1.202310728553092900e-01,1.276650631916126100e-01,1.351392286498806772e-01,1.426388757486403702e-01,1.501501305342113068e-01,1.576599685041051302e-01,1.651562136471164677e-01,1.726275397257347743e-01,1.800634491671690152e-01,1.874542689653921068e-01,1.947911219942582151e-01,2.020659096520274756e-01,2.092712800178989363e-01,2.164006007403852239e-01,2.234479211565384427e-01,2.304079523927215489e-01,2.372760151082823898e-01,2.440480195084556714e-01,2.507204254236871654e-01,2.572902034695144780e-01,2.637548112600777706e-01,2.701121509847941304e-01,2.763605366766900828e-01,2.824986754064272576e-01,2.885255957574840435e-01,2.944407334652511254e-01,3.002437146100987442e-01,3.059344984249924293e-01,3.115132883524411311e-01,3.169804823841487762e-01,3.223367373463593699e-01,3.275827725961485415e-01,3.327196146598316862e-01,3.377483432268982844e-01,3.426701816728759398e-01,3.474864723121591226e-01,3.521986490076653986e-01,3.568082280573069975e-01,3.613167784305950647e-01,3.657260327597450789e-01,3.700375681530125305e-01,3.742532058758379909e-01,3.783747038775009397e-01,3.824038460660366123e-01
1.000000000000000021e-02,8.070248102024625211e-03,1.163486837608390667e-02,1.581994804439307983e-02,2.060752731147506150e-02,2.597737590122749587e-02,3.190720020366911297e-02,3.837286546390307473e-02,4.534862923022830311e-02,5.280738176180451576e-02,6.072088986425672880e-02,6.906004017399931805e-02,7.779507874316095306e-02,8.689584229850771946e-02,9.633198291667385837e-02,1.060731756446610941e-01,1.160893171624277076e-01,1.263507036076369494e-01,1.368281956664560151e-01,1.474933667623677114e-01,1.583186194341683339e-01,1.692773316798553418e-01,1.803438871346846328e-01,1.914938114994725604e-01,2.027037975631321709e-01,2.139517752748475443e-01,2.252169084947986677e-01,2.364796323097831943e-01,2.477216680726621045e-01,2.589259953675002723e-01,2.700768515692319460e-01,2.811597033315517691e-01,2.921612185228298353e-01,3.030692286108740974e-01,3.138726906887440715e-01,3.245616455780380161e-01,3.351271409363216214e-01,3.455612444222673219e-01,3.558569310060268331e-01,3.660080515696521597e-01,3.760092977828865535e-01,3.858561213565319670e-01,3.955447170705356230e-01,4.050719251489608985e-01,4.144352402682889291e-01,4.236327096284676630e-01,4.326629473349969390e-01,4.415249666651770988e-01,4.502183579474774433e-01,4.587430320836549669e-01,4.670993037324541741e-01,4.752877810903649025e-01,4.833094266670297512e-01,4.911654532429892694e-01,4.988573054484555236e-01,5.063866529580868248e-01,5.137553605633816689e-01,5.209654463107558087e-01,5.280189627382032569e-01,5.349185567578905731e-01,5.416662782584994451e-01,5.482647354883345425e-01,5.547165091887347188e-01,5.610242171686133927e-01,5.671905364489838730e-01,5.732182009567455827e-01
1.333333333333333419e-02,1.076059805010796781e-02,1.551353573377975935e-02,2.109376613395570407e-02,2.747733956861643859e-02,3.463727860865715991e-02,4.254385419724914658e-02,5.116488173819538909e-02,6.046603231978522203e-02,7.041115292712389617e-02,8.096259134567999893e-02,9.208152022689131133e-02,1.037282566619626145e-01,1.158625687353951605e-01,1.284439762705998911e-01,1.414320287348191374e-01,1.547865652202404796e-01,1.684679568550603301e-01,1.824373238795277130e-01,1.966567309423911392e-01,2.110893587145759864e-01,2.256996491420120710e-01,2.404534325035374287e-01,2.553180272375618065e-01,2.702623201469536718e-01,2.852568265606814646e-01,3.002737284001802953e-01,3.152869029197836737e-01,3.302719257440452916e-01,3.452060612190990807e-01,3.600682526203652922e-01,3.748390797003051667e-01,3.895007384151202290e-01,4.040369623167606172e-01,4.184329969189455878e-01,4.326755342158019602e-01,4.467526340089510439e-01,4.606536784421198516e-01,4.743692903069189337e-01,4.878912690112429673e-01,5.012125193664538347e-01,5.143269856006573715e-01,5.272295514508382741e-01,5.399161126300212610e-01,5.523832188450956693e-01,5.646283412690130676e-01,5.766496043889878242e-01,5.884458100580622908e-01,6.000163275159784426e-01,6.113610981847218406e-01,6.224805556880176338e-01,6.333755693931150121e-01,6.440474207080194580e-01,6.544977679880835675e-01,6.647285671378546645e-01,6.747420778988465484e-01,6.845408155426602193e-01,6.941275037823745331e-01,7.035050802769217126e-01,7.126766354513384139e-01,7.216454116149085829e-01,7.304147508520750787e-01,7.389881175842404337e-01,7.473690704249393857e-01,7.555611546370550879e-01,7.635681987260306558e-01
1.666666666666666644e-02,1.345117709540962977e-02,1.939252704780596720e-02,2.636801462065445703e-02,3.434769744971538641e-02,4.329784768489032543e-02,5.318129724731598951e-02,6.395780762918221174e-02,7.558445833661592284e-02,8.801604742938907988e-02,1.012054972432201577e-01,1.151042574938258706e-01,1.296627061600664488e-01,1.448305329960989374e-01,1.605571115916586411e-01,1.767918476185578458e-01,1.934845059543675583e-01,2.105855111339799413e-01,2.280462177598127638e-01,2.458191582884237669e-01,2.638582530591253583e-01,2.821189970492274934e-01,3.005586155942376880e-01,3.191361890175943850e-01,3.378127558980817402e-01,3.565513995693697646e-01,3.753172673793022107e-01,3.940776287279877943e-01,4.128019042812277051e-01,4.314615870486732674e-01,4.500302941644432897e-01,4.684836920693798423e-01,4.867994555434322912e-01,5.049572090810987568e-01,5.229384586939463953e-01,5.407265199578846770e-01,5.583064391434033880e-01,5.756648960880815791e-01,5.927901828657741179e-01,6.096720081080291287e-01,6.263014713986131410e-01,6.426710229218864923e-01,6.587742986319485849e-01,6.746060823619952629e-01,6.901621539404371175e-01,7.054393818004937033e-01,7.204354025218741020e-01,7.351487649948015290e-01,7.495787071034512028e-01,7.637251917774326992e-01,7.775888276512331609e-01,7.911707237292509021e-01,8.044725301060265954e-01,8.174963724784555241e-01,8.302447421280847450e-01,8.427205354269495796e-01,8.549269166623406635e-01,8.668673666061539329e-01,8.785456127243920221e-01,8.899655703956884656e-01,9.011313424424666207e-01,9.120471602333105610e-01,9.227174363046990457e-01,9.331466073796534921e-01,9.433392525668874429e-01,9.532999814412543849e-01
2.000000000000000042e-02,1.614204255055737280e-02,2.327192378309907855e-02,3.164280117063484471e-02,4.121873744784288612e-02,5.195924995899319637e-02,6.381972695636689563e-02,7.675186952034937504e-02,9.070416292896182897e-02,1.056223464661465855e-01,1.214499080542056908e-01,1.381285660998815279e-01,1.555987453479088511e-01,1.738000458082134270e-01,1.926716738192093825e-01,2.121528735727868098e-01,2.321833119668743617e-01,2.527034393788408217e-01,2.736548174294971547e-01,2.949804112017789803e-01,3.166248451547080123e-01,3.385346283870722672e-01,3.606583377950101088e-01,3.829467753678202913e-01,4.053530904358487730e-01,4.278328218763392532e-01,4.503441842926896310e-01,4.728476748282064435e-01,4.953065105149360714e-01,5.176864047427210958e-01,5.399555963180886486e-01,5.620847543323078677e-01,5.840471146297301352e-01,6.058180330748755837e-01,6.273752883670691283e-01,6.486987917463775677e-01,6.697705452555521299e-01,6.905745447486792976e-01,7.110966360049276735e-01,7.313245010498485854e-01,7.512474572197854750e-01,7.708564103022569336e-01,7.901437332585956597e-01,8.091031593915269937e-01,8.277297137176283792e-01,8.460195783986721452e-01,8.639700077054894845e-01,8.815792765072543169e-01,8.988465644118864839e-01,9.157718492928352827e-01,9.323559024269597595e-01,9.486001828971658556e-01,9.645066867118488041e-01,9.800780525550994993e-01,9.953173586474642898e-01,1.010228134332646688e+00,1.024814287003354529e+00,1.039080060210639145e+00,1.053030011405776900e+00,1.066668890531780711e+00,1.080001723971670380e+00,1.093033774900937116e+00,1.105770054723955287e+00,1.118216459188470013e+00,1.130378261835280007e+00,1.142261146385868287e+00
2.333333333333333440e-02,1.883325174545886702e-02,2.715180571979190771e-02,3.691823349087623024e-02,4.809059603567315128e-02,6.062165207411209650e-02,7.445934055742309265e-02,8.954729823607536499e-02,1.058254026969761841e-01,1.232303306545616817e-01,1.416961255448315471e-01,1.611547606250363363e-01,1.815366958454233126e-01,2.027714161289674022e-01,2.247879481067779628e-01,2.475153472606528848e-01,2.708831544992290619e-01,2.948218154315266348e-01,3.192630612985902783e-01,3.441402506742762268e-01,3.693886790301402212e-01,3.949457921385222670e-01,4.207514986722172834e-01,4.467482564404790524e-01,4.728812710223105342e-01,4.990985754400064645e-01,5.253511319019473769e-01,5.515928474919051805e-01,5.777806241600710324e-01,6.038743242204275274e-01,6.298367539602525156e-01,6.556336124619779326e-01,6.812334233416480478e-01,7.066074613391221115e-01,7.317296586506696343e-01,7.565764888492032547e-01,7.811268830111290917e-01,8.053620994659957955e-01,8.292655830585268228e-01,8.528229738986522479e-01,8.760217263494871620e-01,8.988512494009298637e-01,9.213026413882602350e-01,9.433686204656361873e-01,9.650434312776222656e-01,9.863226018785072879e-01,1.007203030472355598e+00,1.027682770057156469e+00,1.047760902378649162e+00,1.067437515963009620e+00,1.086713605295883678e+00,1.105590799157518678e+00,1.124071884571807178e+00,1.142159706718839374e+00,1.159858100932517733e+00,1.177171259474433684e+00,1.194103748442768120e+00,1.210660970003422765e+00,1.226847996541103880e+00,1.242670631465846220e+00,1.258134827075650497e+00,1.273246769790503885e+00,1.288012718981580207e+00,1.302439231571768774e+00,1.316532835257795631e+00,1.330300152625502497e+00
2.666666666666666838e-02,2.152486204895609143e-02,3.103225525631606030e-02,4.219441930896779269e-02,5.496340990629981077e-02,6.928522084822631710e-02,8.510033567582797609e-02,1.023443182986384231e-01,1.209484328313275153e-01,1.408402815073867831e-01,1.619444506979810239e-01,1.841831551862598004e-01,2.074768716437404015e-01,2.317449533097519776e-01,2.569062188052447793e-01,2.828795085466951353e-01,3.095842051526564442e-01,3.369407112014828898e-01,3.648708865147468061e-01,3.932984364586925574e-01,4.221492574167201584e-01,4.513517340826175839e-01,4.808369978520555810e-01,5.105390993775692499e-01,5.403952579954318658e-01,5.703458847848573710e-01,6.003347366069484714e-01,6.303089646978214944e-01,6.602191128796413011e-01,6.900191292314550306e-01,7.196663297194249020e-01,7.491213382326048498e-01,7.783480493813981216e-01,8.073134686428367068e-01,8.359876765147004063e-01,8.643436827762192021e-01,8.923573106461527571e-01,9.200070575703956921e-01,9.472739745544553891e-01,9.741415216515634246e-01,1.000595418502074230e+00,1.026623580971650851e+00,1.052215688710983033e+00,1.077363612937376036e+00,1.102060723673741860e+00,1.126302037457261207e+00,1.150084058602155901e+00,1.173404613407427188e+00,1.196262777311955849e+00,1.218658752784154364e+00,1.240593749508467791e+00,1.262069936200483911e+00,1.283090254548190368e+00,1.303658464073093715e+00,1.323778894890739855e+00,1.343456573285647604e+00,1.362696949802885582e+00,1.381505962939919785e+00,1.399889960692500601e+00,1.417855666782662505e+00,1.435409791468287288e+00,1.452559793166995128e+00,1.469312950148138341e+00,1.485676762373400184e+00,1.501658980993053394e+00,1.517267172391858709e+00
